127.0.0.1 - - [18/Jan/2016:19:56:39 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jan/2016:19:56:43 +0200] "OPTIONS /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jan/2016:19:56:45 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:19:57:55 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:19:59:02 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:00:34 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:02:53 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:03:16 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:03:34 +0200] "OPTIONS /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:03:34 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:05:24 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:05:31 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:06:09 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:07:39 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:07:51 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:20:14 +0200] "OPTIONS /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:20:15 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:20:55 +0200] "OPTIONS /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:20:55 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:21:02 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:22:17 +0200] "OPTIONS /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:22:17 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:22:53 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:23:47 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:25:54 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:25:59 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:26:26 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:27:22 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:28:35 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:31:16 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:32:07 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:32:53 +0200] "OPTIONS /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:32:53 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [18/Jan/2016:20:33:47 +0200] "GET /Phos2/phobias/query?maxNumber=13&offset=5 HTTP/1.1" 200 5423
